71	381	331	661
649	-562	964	-290
-559	-923	981	415
-41	-882	834	-327
-712	-208	-333	742
-924	922	-380	961
508	335	673	396
-637	-575	-590	906
-326	833	504	841
560	-157	875	281
779	117	897	396
-900	-287	440	342
-704	777	914	940
-699	-656	-321	-282
-452	-31	-331	244
-399	-851	-179	-347
-845	723	856	791
397	-785	714	325
-942	-478	237	-46
770	809	945	861
-90	968	683	984
-58	-723	227	520
991	-903	996	-13
810	500	949	955
-495	-235	541	967
167	71	240	128
963	-609	997	-234
739	254	850	723
23	-855	856	351
487	585	553	771
-2	-233	709	195
-58	-645	16	182
-786	468	-251	525
989	611	999	713
-87	274	126	877
-143	-609	266	307
-764	-915	388	-319
295	-777	304	372
147	237	583	762
-813	-984	449	254
309	963	652	975
-874	-705	-594	17
536	67	792	323
-222	672	909	746
-497	-908	385	936
-425	619	444	977
-976	558	-639	827
-204	219	429	487
662	-637	863	488
-557	-738	647	205
253	-453	473	-187
395	-438	597	-149
-423	-212	177	617
495	24	911	497
-300	-831	712	-287
420	212	896	812
655	34	876	412
-625	162	-153	981
-172	519	885	589
-298	889	-190	998
489	-822	698	437
292	274	911	470
-480	-752	-160	-720
-15	279	236	800
-442	-279	135	519
10	937	735	999
512	-627	536	-27
770	-763	841	-531
-593	-895	381	-295
-829	427	758	771
325	-726	930	707
804	-661	854	-358
-587	89	-227	339
12	315	781	687
713	85	873	724
-940	358	-347	807
741	-192	818	525
41	-914	313	-419
-440	975	-177	979
847	699	977	859
-643	-884	-101	199
406	532	710	992
888	-989	908	856
-18	467	267	734
251	460	766	746
-26	-82	386	510
149	-96	978	218
854	333	857	633
175	-751	179	240
-995	614	-568	661
-262	-192	-154	763
-743	-453	-265	782
-299	-825	102	861
-700	644	845	678
931	-254	970	482
-948	350	254	600
-577	-642	890	980
523	749	673	942
476	-670	896	-375
160	983	210	998
-641	-80	845	626
788	299	802	628
-87	655	51	847
347	764	421	814
486	790	603	824
-93	-879	379	269
-504	882	945	921
-150	847	639	953
546	-411	815	830
-919	-149	860	664
138	-729	473	-465
739	905	842	960
989	393	991	702
-230	-460	432	898
983	444	984	456
706	70	805	992
-654	-374	684	759
-465	-184	529	957
-679	720	774	975
-130	742	-66	923
-829	920	889	941
-359	-993	605	877
-347	545	-146	589
627	-205	713	219
659	-964	856	47
-258	374	382	855
-400	55	357	654
984	-512	996	958
525	-738	749	-444
-771	-149	-560	115
831	-573	862	970
-352	718	-59	967
97	-292	529	52
928	563	986	831
-73	-685	305	703
-727	-452	116	552
-127	62	58	435
-261	599	363	922
50	568	431	796
218	-895	693	575
459	828	528	983
721	877	938	949
125	-15	208	476
391	2	593	467
277	471	685	899
-54	13	49	759
-841	997	-786	998
-311	-668	-255	-308
-742	-148	403	-137
-403	-793	-398	41
786	-185	992	865
5	0	848	969
-324	672	437	694
459	574	719	624
-150	-750	558	-475
-18	-989	533	963
114	-658	369	121
191	-863	911	-220
-187	-267	819	361
-590	-583	-2	-303
944	449	954	689
-561	-460	725	955
-213	390	-139	482
-843	-993	372	102
-516	858	-26	869
649	-369	677	991
539	-50	614	278
618	-322	802	-177
9	-152	340	901
241	695	844	835
-923	106	-418	498
-409	-165	323	667
-285	790	762	996
962	-123	973	460
-573	92	703	740
877	35	992	900
74	-231	727	330
505	-959	520	-430
-343	746	151	982
-302	119	-196	821
324	357	528	594
-189	-491	870	-111
188	446	277	738
217	-326	523	-90
639	577	705	854
567	87	629	340
-666	-941	485	-681
-903	-115	-132	368
-532	-106	900	528
978	310	991	851
-301	175	848	220
883	-310	987	288
900	908	948	967
834	16	962	358
-1	798	879	848
53	847	641	975
-423	862	728	911
955	-975	972	-541
-844	967	-34	983
603	-566	672	303
116	140	837	893
-934	-380	-751	140
237	30	407	631
-443	-540	292	737
322	463	567	719
-485	-860	113	377
603	-678	749	300
-17	212	853	986
345	257	509	649
602	504	924	663
-964	312	-25	430
-720	-819	632	500
-224	-576	528	54
120	819	613	977
-401	313	582	913
617	-482	773	910
280	-239	951	350
-994	692	814	739
-536	596	-431	634
-466	-569	-228	161
-717	961	440	969
-257	-3	128	746
792	353	902	575
-395	-168	-157	976
152	331	685	406
601	-855	761	41
-551	-37	488	126
528	827	974	929
807	436	925	991
967	-667	971	520
-890	526	-715	809
-55	183	304	311
-376	-238	904	25
-647	-866	794	-357
347	268	704	312
2	-705	669	222
808	-393	934	42
-125	669	451	987
177	-279	344	537
-132	-759	802	-709
-885	312	354	935
375	-334	429	-332
-526	647	658	812
72	-297	780	884
66	-908	380	342
-486	933	-450	958
-753	395	-718	841
322	639	869	952
417	-925	830	935
384	275	887	745
306	828	832	967
49	332	311	626
-481	-862	892	548
-408	-745	-363	-178
679	-786	884	442
863	-861	983	434
-216	187	420	204
283	354	618	597
-858	718	844	992
-346	-21	433	499
57	895	915	924
-79	799	964	908
868	-432	882	780
872	758	961	981
-596	-245	-48	72
-77	-599	664	715
-889	-718	-534	-663
598	552	987	916
-462	-959	407	543
-393	359	-38	845
-812	-250	-380	-110
544	-980	960	-3
994	-578	998	-115
-985	-511	368	661
926	756	953	978
-662	657	-184	798
-120	-576	779	199
386	507	995	608
-970	-282	487	57
-957	-245	587	177
-416	486	568	782
405	421	869	728
-587	374	896	881
-724	-234	517	990
-719	221	159	943
-600	-519	554	96
-880	-302	945	716
988	-132	996	868
176	-315	677	-137
-628	964	946	990
-11	32	230	391
645	-955	719	828
482	283	692	513
636	995	974	1000
-486	763	275	831
131	489	809	908
-894	224	159	685
-990	904	638	967
-908	802	639	846
794	-348	957	999
-237	-102	-15	249
480	862	572	896
-399	182	-233	460
794	-288	953	113
521	593	729	644
-481	746	-430	913
586	-736	929	276
479	310	493	359
328	-941	559	13
657	569	858	638
